madde,anlam
abartmak,"Bir nesneyi veya durumu olduğundan daha önemli, daha büyük veya daha çok göstermek, mübalağa etmek"
abartmalı,Abartılı
abartısız,"Olduğu gibi gösterilen, abartmasız, mübalağasız"
abaşo,Gemiyi baştan veya kıçtan halatla karaya bağlama
abat,Bayındır
abat etmek (veya eylemek),bayındır duruma getirmek
abat olmak,"rahata kavuşmak, gönenmek"
Abaza,Abhaz
Abhazca,"Abhazlar tarafından kullanılan dil, Abazaca"
abazan,Uzun süre cinsel ilişkide bulunmayan (erkek)
abazan kalmak,uzun süre cinsel ilişkide bulunmamak
abazanlık,Abazan olma durumu
Abdal,Safeviler devrinde İran'da yaşayan Türk oymaklarından biri
abdalın karnı doyunca gözü pabucundadır (veya yolda olur),`çıkarına düşkün kimselerin arkadaşlığı işi bitinceye kadardır` anlamında kullanılan bir söz
abdalın dostluğu köy görününceye kadar,"`çıkarı dolayısıyla yakınlık gösteren kimse, işini yürütecek başkalarını bulduğunda sizinle ilgisini keser` anlamında kullanılan bir söz"
abdala malum olur,bir şeyin olacağını önceden sezen kimseler için söylenen bir söz
"abdala ""kar yağıyor"" demişler, ""titremeye hazırım"" demiş","`varlıklılar için sıkıntı olabilecek bir durum, yoksullar için söz konusu bile olmaz` anlamında kullanılan bir söz"
"abdal düğünden, çocuk oyundan usanmaz",`bir kimse sevdiği işi sürekli olarak yapmaktan bıkmaz` anlamında kullanılan bir söz
"abdal ata binince bey oldum sanır, şalgam aşa girince yağ oldum sanır","`görmemiş kimse rastlantı sonucunda layık olmadığı bir duruma kavuştuğunda, bu durum kendisinin gerçekten hakkıymış gibi aptalca böbürlenir` anlamında kullanılan bir söz"
abdal,Gezgin derviş
"abdal tekkede, hacı Mekke'de bulunur",`herkes kendisine yakışan ve uğraştığı işle ilgili olan yerdedir` anlamında kullanılan bir söz
abdesti bozulmak,yeniden abdest alma gereği ortaya çıkmak
abdest,"Müslümanların, belli ibadetleri yapabilmek için bir düzen içerisinde bazı organları yıkayıp bazılarını mesh etme yoluyla yaptıkları arınma"
abdest almak,"Müslümanlar, belli ibadetleri yapabilmek için bir düzen içerisinde bazı organları yıkayıp bazılarını mesh ederek temizlenmek"
abdest bozmak,idrar veya dışkı yapmak
abdest tazelemek,abdesti bozulmadığı hâlde yeniden abdest almak
abdesti gelmek,abdest bozmaya gereksinim duymak
abdesti kaçmak,abdesti bozulmak
"abdestinde, namazında olmak",dindar olmak
abdestinden şüphesi olmamak,yaptığı işte kusuru olmadığını kesin olarak bilmek
abdestini vermek,birini azarlamak
abdestbozan,Şerit
abdiâciz,Kişinin alçak gönüllülük göstermek amacıyla kendisini tanımlamak için söylediği bir söz
abdülleziz,"Akdeniz bölgesinde ve Afrika'da yetişen, çok yıllık, yumrulu ve otsu bir bitki (Cyperus esculentus)"
abece,Alfabe
abecesel,Alfabetik
abece sırası,Alfabe sırası
aberasyon,Sapınç
abes,"Gereksiz, yersiz, boş"
abes bulmak,"gereksiz, saçma sapan olarak kabul etmek"
abes kaçmak,söz uygun düşmemek
abesle iştigal etmek (veya uğraşmak),"yersiz, yararsız işlerle vakit öldürmek"
abıhayat,"Efsanelere göre içen kimseye ölümsüzlük sağladığına inanılan bir su, bengi su, dirim suyu"
abıhayat içmiş,yaşı çok ilerlemiş olmasına karşın genç görünen (kimse)
abıkevser,"Cennette bulunduğuna inanılan ırmak, havuz veya çeşmenin suyu"
abide,Anıt
abideleşme,Anıtlaşma
abideleşmek,Anıtlaşmak
abideleştirme,Anıtlaştırma
abideleştirmek,Anıtlaştırmak
abidevi,Anıtsal
abis,Okyanusların güneş ışığının ulaşamadığı derin yerleri
abla,Bir kimsenin kendisinden büyük olan kız kardeşi
ablak,Yayvan ve dolgun (yüz)
ablakça,Ablak gibi
ablalık,Abla olma durumu
ablalık etmek,abla gibi yakın ve koruyucu davranışlarda bulunmak
ablatif,Çıkma durumu
ablatya,"Uzunluğu 150, genişliği 4-10 kulaç olan, geniş gözlü bir balık ağı türü"
abli,"Yatay serenlerin ucuna bağlı bulunan ve bunları sağa, sola veya ortaya çevirmek için yararlanılan halat veya palanga"
abliyi kaçırmak (veya bırakmak veya koyuvermek),soğukkanlılığını yitirip davranışlarını denetleyememek
ablukayı yarmak,kuşatılan bölgeden zor kullanarak dışarı çıkmak
ablukayı kaldırmak,kuşatma uygulamasından vazgeçmek
abluka altında tutmak,kuşatmayı sürdürmek
abluka,Kuşatma
abluka etmek (veya ablukaya almak),kuşatmak
abone,"Süreli yayınları, parasını önceden ödeyerek alma işi"
abone etmek,"bir şeyi belli bir süre için almasını sağlamak, sürdürümlemek"
abone olmak,"bir şeyi belli bir süre için peşin para ile almayı önceden üstlenmek, sürdürümlenmek"
abonelik,Abone olma durumu
abonman,"Bir satıcı veya kamu kuruluşu ile alıcılar arasında yapılan anlaşma, sürdürüm"
aborda olmak,"gemi bordasını tamamen vererek başka bir gemiye, iskeleye veya rıhtıma yanaşmak"
aborda etmek,gemi yanlamasına yanaşmak
aborda,"Bir deniz teknesinin başka bir tekneye, bir iskeleye veya bir rıhtıma yanını vererek yanaşması"
abra,Dara
abrakadabra,Eski çağlarda bazı hastalıklara iyi geldiğine inanılan büyülü söz
abrama,Abramak işi
abramak,Fırtınalı havalarda gemiyi ustalıkla yönetmek
abraş,Alaca benekli
april,Nisan
abstraksiyonizm,Soyutçuluk
abstre,Soyut
abstre sayı,Soyut sayı
absürt,Saçma
abu,Şaşma ve korku bildiren bir söz
abuhava,İklim
abuk sabuk,"Akla, mantığa uymayan, düşünülmeden söylenen (söz), saçma sapan, abuk subuk, abidik gubidik"
abuk sabuk konuşmak,"ne söylediğini bilmeden, düşüncesiz, tutarsız konuşmak"
abuk sabukluk,Saçmalık
abuli,İrade yitimi
abullabut,Kaba saba ve anlayışsız (kimse)
abullabutluk etmek,kaba saba davranışlar içinde olmak
abullabutluk,Abullabut olma durumu
abur cubur,Yararı gözetilmeksizin rastgele yenilen şeyler
abus,Somurtkan (kimse)
Ac,Aktinyum elementinin simgesi
acaba,"Şüphe, kuşku"
Acar,"Güneybatı Kafkasya'nın Türkiye sınırına yakın bölgesinde yaşayan bir halk, Acara"
acar,Atılgan
acarlaşma,Acarlaşmak durumu
acarlaşmak,Acar duruma gelmek
acarlık,Acar olma durumu
acayip,"Sağduyuya, göreneğe, olağana aykırı, garip, tuhaf, yadırganan, yabansı"
acayip olmak,yadırganacak bir duruma gelmek
acayibine gitmek,"yadırgamak, tuhafına gitmek"
acayipleşme,Acayipleşmek durumu
acayipleşmek,"Başkalaşmak, yadırganacak bir duruma gelmek"
acayipleştirme,Acayipleştirmek işi
acayipleştirmek,Yadırganacak bir duruma getirmek
acayiplik,"Acayip olma durumu, yabansılık, gariplik, tuhaflık"
acele,"Hızlı yapılan, çabuk, tez, ivedi"
acele etmek,"çabuk davranmak, ivmek"
acele ile menzil alınmaz,`ivmekle daha çabuk sonuç alınır sanılmamalıdır` anlamında kullanılan bir söz
acele işe şeytan karışır,düşünüp taşınmadan ivedi olarak yapılan işten iyi sonuç alınamayacağını anlatan bir söz
acele yürüyen yolda kalır,"`iş yaparken acele eden şaşırır, işini bitiremez` anlamında kullanılan bir söz"
acelesi olmak,hızlı hareket etme durumunda olmak
aceleye gelmek,bir iş yapılırken zaman yetersizliğinden dolayı gereken önem verilememek
aceleye getirmek,"bir işi üstünkörü, özenmeden yapmak"
aceleci,"Tez iş gören, çabuk davranan, canı tez, farfara, fırtına gibi, içi tez, ivecen, iveğen, kıvrak, sabırsız, tez canlı, telaşlı, acul"
acelecilik,"Aceleci olma durumu, ivecenlik"
aceleleştirme,Çabuklaştırma
aceleleştirmek,Çabuklaştırmak
Acem,İranlı
acem,Klasik Türk müziğinde mi notasına yakın bir perde
acemaşiran,Klasik Türk müziğinde kullanılan şet makamlarından biri
acemborusu,"Canlı kırmızı renkli çiçek açan, uzun boylu bir tür süs bitkisi (Bignonia radicams)"
acembuselik,Klasik Türk müziğinde kullanılan birleşik bir makam
Acemce,Farsça
Acem halayı,Doğu ve Güneydoğu Anadolu'da oynanan bir halk oyunu
acemi,"Bir işin yabancısı olan, eli işe alışmamış, bir işi beceremeyen"
acemi katır kapı önünde yük indirir,"`beceriksiz ve anlayışsız kişi, kendisine yaptırılan işi en önemli yerinde bırakır` anlamında kullanılan bir söz"
acemi nalbant gâvur eşeğinde öğrenir,"`mesleğinde ustalaşmamış kimse, ilk denemelerini değersiz malzeme üzerine yapar` anlamında kullanılan bir söz"
acemi ağası,Hareme yeni alınan cariyelerin ağası
acemice,"Toyca, beceriksizce, acemicesine"
acemi çaylak,"Deneyimsiz, toy, beceriksiz kimse"
acemi er,Askere yeni alınan ve eğitim dönemini henüz tamamlamamış er
acemileşme,Acemileşmek durumu
acemileşmek,Beceriksizlik göstermek
acemilik etmek,deneyimli olmasına karşın acemice davranmak
acemilik çekmek,alışamadığı bir işte zorluk çekmek
acemilik,"Acemi olma durumu, toyluk"
acemi ocağı,Osmanlı ordusuna kapı kulu eri yetiştirmek için kurulan okul
acemi oğlanı,Yeniçeri Ocağında yetiştirilmek üzere tutsaklardan veya Hristiyanlardan devşirme yoluyla toplanan çocuk
acemkürdi,Klasik Türk müziğinde birleşik bir makam
Acem lalesi,"Taşkırangillerden, turuncu ve sarı çiçekler açan, yıllık ve çok yıllık türleri olan, saksıda ve tarlada üretilebilen bir süs bitkisi, güneştopu"
Acemleşme,Acemleşmek durumu
Acemleşmek,Kültür ve medeniyet bakımından İran halkını örnek almak veya etkisi altında kalmak
Acemleştirme,Acemleştirmek işi
Acemleştirmek,Acemleşme işini yaptırmak
Acem pilavı,"İçine safran ve zencefil eklenerek yapılan, İran usulü bir pilav türü"
acente,Bir kuruluşun yaptığı işi onun adına kazanç karşılığında yürüten daha küçük kuruluş
acentelik,Acentenin yaptığı iş
acep,Acaba
aceze,Âcizler
acısını görmek,bir yakınının ölümünü görmek
acısını çıkarmak,acılığını yok etmek
acısını çekmek,yapılan yanlış bir işin doğurduğu sıkıntı ve üzüntü içinde bulunmak
acısını bağrına (veya içine) basmak (veya gömmek),"bir üzüntüye, sıkıntıya yakınmadan katlanmak"
acısı ortaya çıkmak,olumsuz sonucu yavaş yavaş ortaya çıkmak
acısına dayanamamak,"bir kimse, bir yakınının ölümünden, kaybından büyük üzüntü duymak"
acısı içine (veya yüreğine) çökmek (veya işlemek),bir şeyin acısını derinden duymak
acısını almak,acılığını gidermek
acı vermek,"birinin üzülmesine sebep olmak, incitmek"
acısı çıkmak,"bir şeyin olumsuz, kötü sonucu bir süre sonra ortaya çıkmak"
acı,"Bazı maddelerin dilde bıraktığı yakıcı duyu, tatlı karşıtı"
"acı acıyı keser, su sancıyı",`bir güçlüğü yenmek için başka bir güç yola başvurulmalıdır` anlamında kullanılan bir söz
acı çekmek (veya duymak),"ağrı, sızı duymak"
acısını almak,"sıkıntısını, üzüntüsünü azaltmak"
acı (veya acılar) görmek,kötü günler yaşamak
acı gelmek,"dokunmak, kırmak, üzmek"
acı patlıcanı kırağı çalmaz,`herhangi bir duruma alışkın olan kimseyi benzer kötü durumlar etkilemez` anlamında kullanılan bir söz
acı söylemek,olumsuz bir davranış karşısında gerçeği olduğu gibi söylemek
acı acı,"Üzüntülü bir biçimde, dokunaklı olarak"
acı ağaç,"Sedef otugillerden, sıcak ülkelerde yetişen, kabuğu ve odunu hekimlikte kullanılan küçük bir ağaç, kavasya (Quassia amara)"
acı badem,"Gülgillerden, dikenli veya dikensiz, meyvelerinin kabukları kalın, çekirdekleri küçük olan bir tür badem ağacı (Amygdalus amara)"
acı badem kurabiyesi,"Toz şeker, pirinç unu, öğütülmüş acı badem, yumurta beyazı ile yapılan ve üzerine acı badem konularak fırında pişirilen bir tür kurabiye"
acı bakla,Termiye
acı bal,Deli bal
acı balık,"Sazangillerden, Avrupa'da ve ülkemiz göllerinde yaşayan, 8-10 santimetre uzunluğunda bir balık, gördek (Rhodeus amarus)"
acıca,Oldukça acı
acı ceviz,"Genellikle Kuzey Amerika'da yetişen, güzel görünüşlü bir tür ceviz"
acı çiğdem,"Zambakgillerden, 10-30 santimetre boyunda, şerit yapraklı ve açık renk çiçekli, tohumları romatizma tedavisinde kullanılan zehirli bir tür çiğdem, güz çiğdemi (Colchicum autumnale)"
acı elma,Ebucehil karpuzu
acı hıyar,İt hıyarı
acı karpuz,Ebucehil karpuzu
acı kavak,Titrek kavak
acı kavun,Ebucehil karpuzu
acıkılma,Acıkılmak işi
acıkılmak,Acıkma işine konu olmak
acıklı,"Acındıracak, acı verecek nitelikte olan, dokunaklı, üzücü, koygun"
acıklı başta akıl olmaz,`büyük sıkıntılar içinde bulunanlar mantık dışı işler yapabilirler` anlamında kullanılan bir söz
acıklı komedi,"Trajediye özgü ciddi ve acı verici olaylarla geleneksel olarak komediye özgü yöntemlerin içinde karşıtlaştığı tiyatro eseri, trajikomedi"
acıkma,Acıkmak işi
"acıkan doymam, susayan kanmam sanır","`bir şeyi uzun süre elde edemeyen kimse, daha sonra o şeyden ne kadar çok edinirse edinsin yine kendisine yetmeyeceği kanısında bulunur` anlamında kullanılan bir söz"
acıkmış kudurmuştan beterdir,"`uzun süre bir nesnenin yokluğunu çeken kimse, onu gördüğünde büyük bir istekle ona saldırır` anlamında kullanılan bir söz"
acıkmak,Yemek yeme gereksinimi duymak
"acıkan ne olsa yer, acıyan ne olsa söyler","`geçim sıkıntısı yaşayan kimse sıkıntısını gidermek için türlü yollara başvurur, canı yanan ise sonunu düşünmeden ağzına geleni söyler` anlamında kullanılan bir söz"
acı kök,Lohusa otu köklerinin kurutularak dövülmesiyle elde edilen acı bir toz
acıktırma,Acıktırmak işi
acıktırmak,Açlık duymasına sebep olmak
acı kuvvet,"Sert, etkili, zorlu kuvvet"
acılanma,Acılanmak durumu
acılanmak,"Tadı acı olmak, acılaşmak"
acılaşma,Acılaşmak durumu
acılaşmak,"Tadı bozulmak, acı olmak"
acılaştırma,Acılaştırmak işi veya durumu
acılaştırmak,Acı bir duruma getirmek
acılı,Acı katılmış olan
acılık,Acı olma durumu
acıma,Acımak durumu
acımak,"Tadı acı duruma gelmek, acılaşmak"
acı marul,"Birleşikgillerden, tadı acı, yaprakları dişli, sürgününden çıkan sütü uyuşturucu ve yatıştırıcı olarak kullanılan iki yıllık bir bitki (Lactuca virosa)"
acımasız,"Acıma duygusu olmayan, katı yürekli, merhametsiz"
acımasızca,"Acımasız olarak, acımasız bir biçimde, acımasızcasına, zalimce, zalimcesine, zalimane"
acımasızlık,Acımasız olma durumu
acı meyan,Dikenli meyan
acımık,Mavikantaron
acımsı,"Acıyı andıran, acıya benzeyen, acı gibi, acımtırak"
acımtırak,Acımsı
acındırma,Acındırmak işi
"acındırırsan arsız olur, acıktırırsan hırsız olur","`koruduğunuz kimsenin sürekli acınmasına izin verirseniz arsız olur, emeğinin karşılığını tam olarak vermediğiniz kişi de hırsız olur` anlamında kullanılan bir söz"
acındırmak,"Birinin acımasına yol açmak, birini merhamete getirmek"
acınılmak,Acınma işine konu olmak
acınma,Acınmak durumu
acınmak,Acıma işine konu olmak
acı ot,"Kuzey Anadolu dağlarının ormanlarında yetişen, toprak altında bilek kalınlığında kökü bulunan çok yıllık ve otsu bir bitki (Tamus communis)"
acırak,"Az acı, acımtırak"
acırga,Yaban turpu
acı sakız,Çam sakızı
acısız,Tadı acı olmayan
acı söz insanı dininden çıkarır,"`insanın gururunu inciten söz, o kimseyi kötü davranışlarda bulunmaya yöneltir` anlamında kullanılan bir söz"
acı söz,"Kişinin onuruna dokunan, gönlünü inciten söz"
acı su,İçindeki minerallerin etkisiyle tadı sert olan kuyu veya pınar suyu
acı tatlı,Şöyle böyle
acıtma,Acıtmak işi
acıtmak,Acılık vermek
acı yavşan,Tüylü dalak otu
ağrı yitimi,"Ağrıya karşı duyarlılığın olmayışı, ağrı kesimi, analjezi"
acı yonca,"Kızılkantarongillerden, bataklık yerlerde yetişen, kötü kokulu ve çok acı olan yaprakları hekimlikte kullanılan bir bitki (Menyanthes trifoliata)"
acibe,"Görülmemiş, alışılmamış, şaşılacak veya yadırganacak şey"
acil,"Hemen yapılması gereken, ivedi, ivedili, evgin, müstacel"
acil şifalar dilemek,hastanın kısa sürede iyileşmesi dileğinde bulunmak
acilen,Çabucak
acil servis,Sağlık kuruluşlarında acilen bakılması gereken hastaların ilk bakımlarının yapıldığı yer
âcizleri,alçak gönüllülük göstermek için `ben` zamiri yerine kullanılan bir söz
âciz,"Gücü bir işe yetmez olan, güçsüz"
âciz kalmak,çok uğraşmasına karşın bir işi yapamamak
aciz,"Gücü bir işe yetmez olanın durumu, güçsüzlük"
aciz içinde olmak,"gücü yetmemek, becerememek"
acze düşmek,"çaresiz kalmak, elinden bir şey gelmemek"
âcizane,"Söz söyleyen kimsenin, kendi yaptıklarını abartmamak için kullandığı `âcizlere yakışacak bir biçimde` anlamında kullanılan bir nezaket sözü"
âcizlik,"Beceriksizlik, güçsüzlük"
acul,Aceleci
acun,Dünya
acur,"Kabakgillerden, kabuğu çizgili ve tüylü, yeşil veya sarımtırak, üzeri yeşil lekeli, irice bir meyve (Cucumis flexuosus)"
acuze,"Huysuz, yaşlı kadın"
acyo,Herhangi bir paranın gerçek değeriyle sürüm değeri arasında veya bir ticaret senedinin üzerinde yazılı miktar ile indirimden sonraki tutarı arasında doğan fark
acyocu,"Borsa veya piyasada tahvil için çeşitli hileler uygulayan, dolaplar çeviren kimse"
açın gözü ekmek teknesinde olur,"`kişinin tek düşüncesi, yaşaması için gerekli olan şeyi elde etmektir` anlamında kullanılan bir söz"
aç kurt yavrusunu yer,`aç olan karnını doyurmak için canavarlığın en kötüsünü bile yapar` anlamında kullanılan bir söz
aç susuz kalmak,yoksulluktan yaşayamayacak bir duruma gelmek
aç tavuk kendini arpa ambarında sanır,"`insanlar, yokluğunu, yoksulluğunu çektikleri şeyler için olmayacak hayaller, düşler kurar` anlamında kullanılan bir söz"
"aç, yanından kaç",aç atansa da kaç
açın imanı olmaz,`aç olan kimseden her türlü kötülük beklenebilir` anlamında kullanılan bir söz
acından ölmek,çok acıkmak
açın koynunda ekmek durmaz,"`kazancı yetmeyen kişi, eline geçeni hemen harcar, yarını için bir şey saklayamaz` anlamında kullanılan bir söz"
açın kursağına çörek dayanmaz,`yoksulluk içinde bulunan kimsenin bir eksiği giderilse başka bir eksiği kendini gösterir` anlamında kullanılan bir söz
açın uykusu gelmez,"`aç olan kimse, kendisine ne kadar rahatlık sağlanırsa sağlansın, dinlendirilemez` anlamında kullanılan bir söz"
acından kimse ölmemiş,"`kişi yoksul olabilir, işsiz ve parasız kalabilir ama aç kalamaz, mutlaka bir geçim yolu bulur` anlamında kullanılan bir söz"
aç kurt gibi,büyük bir istekle
"açın karnı doyar, gözü doymaz","`tutkulu olduğu konuda insan doyumsuzdur, yetinmek bilmez` anlamında kullanılan bir söz"
aç kurt aslana saldırır,"`açın gözü kararmıştır, karnını doyurmak için ölümü bile göze alarak kendisinden kat kat güçlü olan yaratıklarla boğuşur` anlamında kullanılan bir söz"
"aç ne yemez, tok ne demez","`yoksul kimse eline geçen şeyin iyisine kötüsüne bakmaz, varlıklı kişi ise en güzel şeylerde bile kusur bulur` anlamında kullanılan bir söz"
aç kalmak,karnını doyuramamak
aç açık kalmak,"yoksulluk içinde, evsiz barksız kalmak"
aç aç ile yatınca arada dilenci doğar,`karı koca yoksul olursa bunların çocukları da yoksul olur` anlamında kullanılan bir söz
"aç aman bilmez, çocuk zaman bilmez","`aç hiçbir mazeretle susturulamaz, çocuk da istediği şeyi hemen elde etmek ister` anlamında kullanılan bir söz"
"aç at yol almaz, aç it av almaz",`iş gördürdüğünüz kimselerin haklarını tam olarak vermezseniz kendilerinden yararlanamazsınız` anlamında kullanılan bir söz
aç ayı oynamaz,`kendisinden iş beklenilen kimseden emeğinin karşılığı esirgenmemelidir` anlamında kullanılan bir söz
aç bırakmak,yiyecek vermeyerek karnını doyurmasına engel olmak
aç elini kora sokar,"`aç insan, geçimini sağlamak için kendisini her türlü tehlikeye atar` anlamında kullanılan bir söz"
aç doyurmak,yoksulları beslemek
"aç esner, âşık gerinir",`herkes içinde bulunduğu koşula göre davranır` anlamında kullanılan bir söz
aç gezmektense tok ölmek yeğdir,`yoksulluk ölümden de beterdir` anlamında kullanılan bir söz
aç,"Yemek yemesi gereken, tok karşıtı"
aç ile dost olayım diyen peşin karnını doyursun,"`ilişki kuracağımız kimsenin sağlama olanağı bulunmayan şeyi, ona güvenmeden kendimiz sağlamalıyız` anlamında kullanılan bir söz"
aç ile eceli gelen söyleşir,"`açın gözü hiçbir şeyi görmez, karnını doyurabilmek için kendisine güçlük çıkaran bir kimseyi öldürebilir` anlamında kullanılan bir söz"
"aç doymam, tok acıkmam sanır","`aç insan elde ettiğinden çoğunu ister, varlıklı insan ise daha fazlasını ister` anlamında kullanılan bir söz"
aç köpek fırın deler,`aç kimse karnını doyurmak için önüne çıkan engellerin tamamını aşar ve isteğini elde eder` anlamında kullanılan bir söz
açacak,Şişelenmiş bazı içeceklerin kapaklarını açmaya yarayan araç
açelya,"Kokusuz, güzel renkli çiçekler açan bir bitki (Rhododendron)"
açan,"Oynak kemiklerin arasındaki açıları genişletmeye yarayan kasların genel adı, büken karşıtı"
açar,Anahtar
aç biilaç,Aç ve bakımsız bir biçimde
açgözlü,"Mala, yiyeceğe ve içeceğe doymak bilmeyen, açgöz, gözü aç, doymaz, gözü doymaz, tamahkâr, haris, hırslı, tokgözlü karşıtı"
açgözlülük,"Açgözlü olma durumu, doymazlık, gözü doymazlık, harislik, tamahkârlık, tamah"
açgözlülük etmek,"bir şeye karşı aşırı istek duymak, doyumsuzca davranmak, tamahkârlık etmek"
açı,"Birbirini kesen iki yüzey veya aynı noktadan çıkan iki yarım doğrunun oluşturduğu geometrik biçim, zaviye"
açığa çıkarmak,"ortaya çıkarmak, gözler önüne sermek, anlaşılır duruma getirmek"
açığa çıkmak,"belli olmak, anlaşılmak"
açığa vurmak,"belli etmek, ortaya çıkarmak"
açığı çıkmak,saklamakla görevli bulunduğu paranın veya malın eksik olduğu anlaşılmak
açığını kapamak (veya kapatmak),eksiğinin veya küçük düşürücü durumunun anlaşılmamasını sağlamak
açığını bulmak,kasıtlı olarak yaptığı yanlışı veya hileyi yakalamak
açıkta bırakmak,iş ve görev vermemek
açığa çıkarmak,ikiden fazla elementin birleşim işlemi sonrasında atom değerleri yüzünden dışarıda element kalmak
açıkta kalmak (veya olmak),iş ve görev bulamamak
açığını aramak,"birinin yaptığı işte hile, yanlış veya usulsüzlük aramak"
açığa çıkarmak,işinden çıkarmak
açık ağız aç kalmaz,"`isteklerini uygun bir biçimde söylemesini bilen kimse, onları önünde sonunda elde eder` anlamında kullanılan bir söz"
açık vermek,"geliri, giderini karşılamamak"
açık düşmek,herhangi bir sebeple bir filodan veya istenilen yerden uzakta kalmak
açık etmek,"sırrını açığa vurmak, ele vermek"
açık kapamak,"bütçenin gider fazlasını, para sağlayarak ortadan kaldırmak"
açık kapı bırakmak,"gereğinde, bir konuya yeniden dönebilme imkânı bırakmak, kesip atmamak"
açık,"Açılmış, kapalı olmayan, kapalı karşıtı"
açık olmak,dürüst davranmak
açık olmak,her zaman iyi karşılanmak
açık söylemek,anlaşılmayan yön bırakmadan anlatmak
açık tutmak,bir iş yerinin çalışır durumunu sürdürmek
açık konuşmak,gerçeği çekinmeden söylemek
