madde,anlam
makyaj yapmak,"yüzü çeşitli işlemlerle temizlemek, boyamak ve diğer işlemlerle daha bakımlı ve güzel göstermek, makyajlamak"
makyajcı,"Makyaj yaparak geçimini sağlayan kimse, düzgüncü"
makyajcılık,"Makyajcının görevi, düzgüncülük"
makyajlamak,Makyaj yapmak
makyajlı,Makyajı olan
makyaj odası,"Televizyon, sinema, fotoğrafçılık ve reklamcılıkta filmin çekiminden önce gerekli makyajın yapıldığı yer"
makyajsız,Makyajı olmayan
Makyavelcilik,"Politikada, amaca ulaşmak için ahlaka aykırı da olsa her türlü aracı hoş gören anlayış, Makyavelizm"
Makyavelizm,Makyavelcilik
"mal da yalan mülk de yalan, var biraz da sen oyalan","`bu dünya gelip geçicidir, mala mülke fazla değer vermemek gerekir` anlamında kullanılan bir söz"
malı götürmek,herkesin göz diktiği bir çıkarı elde etmek
malını yemesini bilmeyen zengin her gün züğürttür,"`züğürt, yokluk içinde bulunduğundan yiyemez, varlık içinde olduğu hâlde yiyemeyen de bunun gibidir` anlamında kullanılan bir söz"
malı ongun olanın adı angın olur,`malından çok ürün alan kişinin adı her yerde anılır` anlamında kullanılan bir söz
mal yapmak,servet sahibi olmak
mal olmak,bir şeye bir değer karşılığında sahip olmak
"mal sahibi mülk sahibi, hani bunun ilk sahibi",malı mülkü yüzünden kendini üzüntüye kaptırmamak veya malı mülkü ile övünmemek gerektiğini anlatan bir söz
malın iyisi boğazdan geçer,"`kişinin, yiyemediği malının bir değeri yoktur` anlamında kullanılan bir söz"
mal kapatmak,para karşılığında herhangi bir üretim alanındaki verimin sırf kendisine ayrılmasını sağlamak
mal meydanda,bir işin gizli bir yönünün olmadığını belirten bir söz
mal,"Bir kimsenin, bir tüzel kişinin mülkiyeti altında bulunan, taşınır veya taşınmaz varlıkların bütünü"
mal adama hem dost hem düşmandır,`malın insana yararı olduğu gibi zararı da vardır` anlamında kullanılan bir söz
mal bulmuş Mağribî gibi,`büyük bir zenginliğe kavuşmuşçasına aşırı sevinç ve coşku ile` anlamında kullanılan bir söz
"mal canı kazanmaz, can malı kazanır",`insan mal kazanacağım diye sağlığını tehlikeye atmamalıdır` anlamında kullanılan bir söz
mal edinmek,"kendine mal sağlamak, mal sahibi olmak"
mal etmek,bir değer karşılığında sahip olmak
mal kaldırmak,ürün elde etmek
mal canın yongasıdır,"`insan, malına gelen zarardan, canına gelmişçesine acı duyar` anlamında kullanılan bir söz"
mala,"Harç alıp sürmeye yarayan, çoğu üçgen biçiminde, yassı, demirden, üstten tahta saplı sıvama aracı"
malafa,Önceden delinmiş parçaları tornalamaya özgü torna tezgâhı bağlama aleti
malaga,İspanya'nın Malanga yöresinde yapılan bir şarap türü
malak,Manda yavrusu
malakit,"Yeşil renkli, yontulup parlatılabilen, doğal bakırlı, hidratlı karbonat, bakır taşı"
malaklama,Malaklamak işi
malaklamak,"Manda, yavrulamak"
malalama,Malalamak işi
malalamak,Çimento veya alçı sürülmüş bir yüzeyi mala ile düzeltmek
malama,Samanla karışık tahıl
malarya,Sıtma
malayani,"Boş ve yararsız, saçma"
malaz,Sulak yer
mal beyanı,Mal bildirimi
mal bildirimi,"Mülkiyeti altında bulunan taşınır ve taşınmaz malların listelenerek istenen makama sunulması, mal beyanı, deklarasyon"
mal birliği,Hukuk bakımından karı ve kocanın mallarının bir bütün sayılması
malca,"Mal olarak, mal bakımından, malen"
mal canlısı,"Mala çok düşkün, malı çok seven"
malgama,"Cıvanın herhangi bir madenle birleşerek yaptığı alaşım, amalgam"
malın gözü,"Açıkgöz, kurnaz, çokbilmiş kimse"
malı taşı,"Bazen kayıklarda çıpa yerine kullanılan, ipe bağlı büyükçe taş"
mali,Mal ile ilgili
mali analist,Ekonomik ve mali konuları çözümleyen uzman
mali belge,"Kredi açılışını göstermek için çıkarılan ve ikrazcı bankaya finansman yenilemesi yapmayı sağlayan senet, mali senet, enstrüman"
malihülya,Kara sevda
malik olmak,sahip olmak
malik,"Sahip, iye"
malikâne,"Geniş bir alana kurulmuş, büyük ve gösterişli ev"
Maliki,İslamiyette dört Sünni mezhepten biri
malikiyet,Malik olma durumu
maliye,Kamu ile ilgili işlerin yürütülmesi için gerekli gelirleri ve harcanan paraları düzenleyen kuralların bütünü
maliyeci,Maliye işlerinde uzman olan veya devletin maliye kuruluşlarında çalışan kimse
maliyecilik,Bir devletin mali işleri
maliyet,Üretimde bir mal elde edilinceye değin harcanan değerlerin toplamı
maliyet fiyatı,"Bir malın çeşitli üretim ve dağıtım dönemlerinde, o döneme kadar yapılan harcamaların bütünü, doğal fiyat, normal fiyat"
maliyetli,Maliyeti yüksek olan
maliyetsiz,Maliyeti düşük olan
mali yıl,Her yıl bütçenin uygulanması için martın birinden başlayıp ertesi yıl şubat sonunda kapanan süre
Malkar,"Kuzey Kafkasya'da Kabardey-Balkar Cumhuriyeti'nde yaşayan, Türk soyundan bir halk ve bu halktan olan kimse, Balkar"
Malkarca,Malkar Türkçesi
malkıran,Hayvan vebası
malkoç,Osmanlılarda akıncılar ocağının komutanı
mallanma,Mallanmak işi
mallanmak,"Mal edinmek, zenginleşmek"
mal mülk,Her türlü taşınır ve taşınmaz maddi varlık
mal sahibi,Bir malı kendi mülkiyeti altında bulunduran kimse
mal sandığı,Para alıp veren devlet dairesi
malt,Bira yapmak için çimlendirilip kurutularak hazırlanmış arpa
Malta eriği,Yenidünya
Malta humması,"Akdeniz ülkelerinde görülen, en çok keçi sütü ile bulaşan ateşli bir hastalık, Akdeniz humması"
Malta palamudu,"Uskumrugillerden, ılık ve sıcak denizlerde yaşayan, üzerinde enlemesine mavi çizgiler bulunan, gri renkli bir balık (Naucrates ductor)"
Malta taşı,"Bahçe, mutfak vb. yerleri döşemekte kullanılan, dört köşe, yassı, kolay kırılan bir taş türü"
Maltız,Maltalı
maltız,"Çoğunlukla yemek pişirmekte kullanılan, içinde ızgarası bulunan, ayaklı ve taşınır ocak"
Maltız keçisi,"Ana yurdu Malta adası olan, çok süt veren, kısa tüylü, küçük bir cins keçi"
maltlanma,Maltlanmak işi
maltlanmak,"Malt ile işlem görmek, içine malt katılmak"
maltoz,"Nişastası tam olmayan, hidroliz sırasında ortaya çıkan şeker (C12H12O11)"
malul,Sakat (kimse)
malulen,"Sakat, hasta bir biçimde"
malul gazi,Bir savaşta veya yurt savunmasında sakatlanmış güvenlik görevlisi
maluliyet,Sakatlık
malullük,Sakatlık
malum değil,bilinmeyen konular için kullanılan bir söz
malum ya!,`bilinen şey` anlamında kullanılan bir söz
malumu ilam etmek,"bilinen ve açık olan bir şeyi söylemeye, açıklamaya kalkmak"
malum,"Bilinen, belli(II)"
malum olmak,içine doğmak
malumat,Bilgi
malumat almak,bilgi edinmek
malumat edinmek,"bilgi edinmek, öğrenmek"
malumat vermek,bilgi vermek
malumatfuruş,Bilgiçlik taslayan
malumatfuruşluk,Malumatfuruş olma durumu
malumatlı,Bilgili
malumat sahibi,Bilgili
malumatsız,Bilgisiz
malumattar,Bilgili
malumattar etmek,bilgi vermek
mal varlığı,"Bir kişiye ait para ile ölçülebilen hakların bütünü, mamelek"
malya,"Deniz dibinde otlara takılmış oltayı kurtarmaya ve deniz derinliklerinden ağ, halat, sicim vb. şeyleri çıkarmaya yarayan dört tırnaklı demir"
malzeme,Gereç
mama,Bebek için hazırlanan yiyeceklerin genel adı
mamafih,Bununla birlikte
mamaliga,Kaynar suda haşlanıp üzerine yağ gezdirilen mısır unu yemeği
mambo,"Haiti kökenli, rumba ve çaçaya benzeyen bir dans"
mamelek,Mal varlığı
mamul,"Yapılmış, işlenmiş, imal edilmiş (eşya, yiyecek)"
mamulat,Yapılmış şeyler
mamur,Bayındır
mamure,"Bayındır yer, bayındırlık"
mamut,"Filgillerden, dördüncü zamanda Avrupa ve Asya'da yaşamış olan, şimdi ancak fosili bulunan iri, kıllı bir hayvan (Elephas primigenius)"
manaya gelmek,anlam bildirmek
manasına gelmek,anlamına gelmek
mana vermek,"kendince bir yargıya varmak, yorumlamak"
mana çıkarmak,"yersiz bir yargıya varmak, yanlış değerlendirmek"
mana,Anlam
mana (veya manası) çıkmak,"anlamına gelmek, anlamını taşımak"
manalandırma,Manalandırmak işi
manalandırmak,Anlam vermek
manalı,Anlamlı
manas,"Kın kanatlılardan, ergin evrede yaprakları, kurtçuk evresinde kökleri kemirerek tarım bitkilerine ve orman ağaçlarına büyük zarar veren bir böcek (Polyhylla fullo)"
manasız,Anlamsız
manasızlık,"Manasız olma durumu, anlamsızlık"
manastır,"Bazı kesin kurallara bağlı rahip veya rahibelerin dünya ile ilgilerini keserek yaşadıkları yapı, keşişhane"
manat,Azerbaycan ve Türkmenistan para birimi
manav,Meyve ve sebze satan yer
manavlık,Manavın işi veya mesleği
manca,Yiyecek
mancana,"Sütleğengillerden, Antil Adaları'nda yetişen, çok zehirli bir ağaç (Manzenilla)"
mancınık,"Top yapımının bilinmediği çağlarda, kale kuşatmalarında, ağır taş gülle fırlatmakta kullanılan basit bir savaş aracı"
mancınıkçı,Mancınık kullanan kimse
Mançu,Mançurya halkından olan kimse
Mançuca,Mançu dili
manda,"Geviş getirenlerden, derisinin rengi siyaha yakın, uzun seyrek kıllı bir hayvan, su sığırı, camız, kömüş (Buffelus)"
manda gibi,çok iri ve hantal
manda gibi yayılmak,dikkatsizce ve bütün ağırlığıyla oturmak
manda gibi yemek,çok fazla yemek
manda,"Birinci Dünya Savaşı'ndan sonra bazı az gelişmiş ülkeleri, kendi kendilerini yönetecek düzeye eriştirip bağımsızlığa kavuşturuncaya kadar Birleşmiş Milletler Cemiyeti adına yönetmek için bazı büyük devletlere verilen vekillik"
mandacı,"Bir ülkeyi manda temeline göre yönetmesi için Birleşmiş Milletler Cemiyeti tarafından görevlendirilen devlet, mandater"
mandagözü,Nikel yirmi kuruş
mandal,"Kapı vb. şeyleri kapalı tutmaya yarayan, döner tahta veya metal parça"
mandal,Evlek
mandalina,"Turunçgillerden, ılıman iklimlerde yetişen ve portakala çok benzeyen bir ağaç (Citrus nobilis)"
mandallama,Mandallamak işi
mandallamak,"Kapı, pencere kanadını mandalla tutturmak"
mandallanma,Mandallanmak işi
mandallanmak,"Mandallama işi yapılmak, mandalla tutturulmak"
mandallı,Üzerinde mandal bulunan
mandalsız,Üzerinde mandal bulunmayan
mandapost,Posta havalesi
mandar,Gemilerde küçük makara
mandarin,Avrupalıların Çin devlet memurlarına verdikleri ad
mandarinlik,Mandarin olma durumu
mandater,Mandacı
mandepsi,"Tuzak, oyun"
mandepsiye bastırmak (veya düşürmek),"aldatmak, tuzağa düşürmek"
mandıra,"Koyun, keçi vb. süt veren hayvanların barındırıldığı, süt ve süt ürünlerinin elde edildiği yer"
mandıracı,Mandıra işleten kimse
mandıracılık,Mandıracı olma durumu
mandolin,"İkişer ikişer aynı değerde dört çift teli olan, kısa saplı bir çalgı"
manej,At eğitimi
manen,"Kişinin iç dünyası yönünden, manevi bakımdan, maddeten karşıtı"
manevi,"Görülmeyen, duyularla sezilebilen, ruhani, tinsel, maddi karşıtı"
manevi evlat,Bir kişinin kanunlara göre evlat edindiği kimse
manevi ilim,Anlayış yöntemini esas alan bilim dalı
manevi tazminat,Kişilik haklarına karşı işlenen suçlara ilişkin dava sonucunda ödenmesine karar verilen bedel
maneviyat,"Maddi olmayan, manevi şeyler"
maneviyatı bozulmak,moral gücü sarsılmak
maneviyatı kuvvetli tutmak,karşılaşılan zorluklara dayanabilmek için güçlü olabilmek
maneviyatını kırmak,moral gücünü sarsmak
manevi zarar,Manevi yönden uğranılan kayıp
manevra yapmak,bir araca istenilen hareketi yaptırmak
manevra,"Bir aletin işleyişini düzenleme, yönetme işi veya biçimi"
manga,On kişilik asker birliği
mangal,"Isınmaya, bir şey pişirmeye yarayan, sac, bakır veya pirinçten, türlü biçimlerde üstü açık ayaklı ocak, korluk"
mangal gibi yüreği olmak,cesareti çok olmak
mangalda kül bırakmamak,yapamayacağı işleri yapabilirmiş gibi söylemek
mangal kömürü,Odun kömürü
mangal yağı,Etin yapışmaması için mangaldaki ızgaraya sürülen yağ
mangan,Manganez
manganez,"Atom numarası 25, atom ağırlığı 54,93, yoğunluğu 7,39 olan, 1244 °C'de eriyen, doğada oksit durumunda bulunan, çeliği sertleştirmek için kullanılan, çok sert ve kırılgan bir element, mangan (simgesi Mn)"
manganin,Manganezin bakır ve nikelle yaptığı alaşım
mangır,"Bakırdan yapılmış, iki buçuk para değerinde sikke"
mangırlı,Bol parası olan
mangırsız,Parası olmayan
mangiz,Para
mango,Hint kirazı
mani,"Kişinin sevinç, güven ve her türlü etkinliğinin normal olmayan bir biçimde arttığı ruh hastalığı"
mâni,"Genellikle birinci, ikinci ve dördüncü dizeleri uyaklı olan, daha çok hecenin yedili ölçüsüyle söylenen halk şiiri"
mâni düzmek (veya yakmak),mâni okumak
mâni,"Bir şeyin yapılmasını önleyen şey, engel"
mâni olmak,"önüne geçmek, engellemek, önlemek"
mânia,Engel
mânialı,Engelli
manidar,Anlamlı
manifatura,"Fabrika yapımı her türlü kumaş, bez vb. dokuma"
manifaturacı,"Manifatura eşyası satan kimse, bezzaz"
manifaturacılık,"Manifaturacı olma durumu, bezzazlık"
manifesto,Bir gemideki malları göstermek için kaptan tarafından boşaltma işlemlerinin yapılacağı gümrük idaresine verilen liste
Manihaizm,Manicilik
manika,"Gemilerde, ambarlara ve makine bölümüne hava vermek için güverteye açılan baca"
manikür,Elin ve özellikle el tırnaklarının bakımı
manikürcü,Mesleği manikür yapmak olan kimse
manikürcülük,Manikürcünün yaptığı iş
manikürlü,Manikür yapılmış
manikürsüz,Manikürü olmayan
maniple,"Telgraf işaretlerini göndermek için bir devredeki akımı kesmekte veya yeniden vermekte kullanılan araç, manipülatör"
manipülasyon,Yönlendirme
manipülatör,Manipleyi kullanan kimse
Manisa kebabı,Manisa yöresine özgü bir kebap türü
Manisa lalesi,"Lalenin parçalı yapraklı, büyük çiçekli, otsu, çok yıllık türlerine verilen genel ad (Tulipa orphanidea)"
manişka,İki dilli iki makara ile yapılan palanga
manita,Sevgili
manitacı,Manitacılıkla para sızdıran dolandırıcı
manitacılık,"Tanışıyormuş gibi yaparak veya çevredeki yandaşlarından destek alarak birinden para sızdırma işi, bir tür dolandırıcılık, manita"
manivela,Bir ucunun bağlı bulunduğu bir nokta çevresinde dönen kol
manivelalı,Manivelası olan
mankafa,Anlayışı kıt (kimse)
mankafalık,Mankafa olma durumu
manken,"Genellikle modaevlerinde giysileri alıcılara gösterme işiyle görevli kimse, model"
manken gibi,vücut ölçüleri düzgün ve ince olan
mankenlik,Mankenin işi
manolya,"Manolyagillerden, yaprakları almaşık, iri ve parlak yeşil renkte bir süs ağacı (Magnolia grandiflora)"
manolyagiller,"Ayrı taç yapraklı iki çeneklilerden, manolya vb. güzel kokulu bitkileri içine alan familya"
manometre,Basıölçer
munsap,Kavşak
mansıp,Makam
mansiyon,"Bir yarışmada konulan ödüle uygun görülmemekle birlikte, anılmaya değer bulunan kimseye veya esere verilen derece"
manşet,"Gömleğin kol ağzına geçirilen, genellikle çift katlı kumaştan yapılan bölüm, kolluk(I)"
manşet almak,voleybolda karşı takımın attığı servisi karşılamak
manşon,"Elleri soğuktan korumak için kullanılan astarlanmış kürk, el kürkü"
mantara basmak,"birinin hazırladığı oyuna düşmek, oyuna gelmek"
mantar gibi üremek,hızla çoğalıp yayılmak
mantar atmak,"yalan söylemek, martaval atmak"
mantar,"Mantarlardan, içinde zehirlileri de bulunan, silindir bir gövde ve üst tarafı şapka biçiminde olan ilkel canlıların genel adı (Fungi)"
mantar gibi (yerden) bitmek,birdenbire veya kendiliğinden ortaya çıkmak
mantar ağacı,"Turunçgillerden, kerestesi çok gözenekli, süngerimsi, açık sarı renkli bir ağaç (Phelloderidron amurerıse)"
mantar bilimci,Mantar bilimi ile uğraşan kimse
mantar bilimi,"Mantarların yapılarını, yaşayışlarını ve yol açtıkları hastalıkları inceleyen bilim dalı, mikoloji"
mantarcı,Mantar yetiştiren veya satan kimse
mantarcılık,Mantar yetiştirme veya satma işi
mantar çorbası,"Mantarların pişirilmesinden sonra unun yoğurtla karışımının tereyağı, sarımsak ile birlikte bol su içinde kaynatılmasıyla yapılan bir çorba türü"
mantardoğuran,Mantarlaşmış hücreler oluşturacak mantar tabakasını doğuran (büyütken doku)
mantarhane,Mantarların işlendiği yer
mantar hastalığı,Bazı mantarların yol açtığı bitki veya hayvan hastalığı
mantarlama,Mantarlamak işi
mantarlamak,"Aldatmak, yalan söylemek"
mantarlar,"Sap, yaprak, çiçek vb. organlar yerine dallı veya düz iplikler görünüşünde emeçlerden oluşan, klorofilsiz, çiçeksiz, ilkel canlılar"
mantarlaşma,Mantarlaşmak işi
mantarlaşmak,Hücre zarlarına mantar özü karışarak geçirimsiz duruma gelmek
mantarlı,"İçinde mantar bulunan, içine mantar konulmuş olan"
mantarlık,Yenilebilen mantarların yetiştirildiği yer
mantar özü,"Karbon, hidrojen ve oksijenden oluşan bazı bitki hücrelerinin çeperlerini kaplayarak sıvı ve gazların geçmesini önleyen, bu sebeple hücrenin ölümüne veya mantar oluşumuna yol açan madde"
mantar tabakası,"Ağaçlarda hücrelerin çeperlerine mantar özü yığarak ve protoplazmasını yitirerek mantar oluşumuna yol açan, dış büyütken tabaka"
mantar tabancası,"Borusunun ucuna içi barutlu mantar takılarak patlatılan, tabanca biçiminde bir tür çocuk oyuncağı"
mantı,İçine kıyma konularak küçük bohçalar biçiminde dürülen hamur parçaları
mantıcı,Mantı yapan veya satan kimse
mantık,Doğru düşünme sanatı ve bilimi
mantıkça,"Mantık bakımından, mantığa göre, mantıken"
mantıkçı,Mantık bilimiyle uğraşan kimse
mantıkçılık,Mantık biliminin her şeyin üstünde olduğunu benimseyen felsefe
mantık dışı,"Mantıkla hiçbir ilgisi olmayan, mantığa uymayan"
mantıken,Mantıkça
mantıki,Mantıklı
mantıklı,"Mantığa uygun, akla uygun, mantıksal, mantıki, lojik"
mantık öncesi,Mantıksal düşüncesinin henüz oluşmadığı dönem
mantıksal,Mantıklı
mantıksız,"Mantığa, akla aykırı olan"
mantıksızlık,Mantıksız davranma durumu
manti,Gemi serenlerini direklere asılı tutan halat ve makara
mantin,Canfese benzeyen bir tür ipekli kumaş
mantinota,"Kapatma, metres"
mantis,Bir sayının logaritmasının ondalık bölümü
manto,Kadın paltosu
mantolu,Manto giymiş olan
mantoluk,Manto yapmaya elverişli (kumaş)
mantosuz,Mantosu olmayan
manuel,Elle işletilen
manyak,Maniye yakalanmış (hasta)
manyakça,Manyağa yakışan
manyaklaşma,Manyaklaşmak işi
manyaklaşmak,"Manyak duruma gelmek, manyak gibi davranmak"
manyaklık,Manyak olma durumu
manyat,"Alamanadan küçük, üç çifte balıkçı kayığı"
manyetik,"Mıknatısla ilgili, kendinde mıknatıs özellikleri bulunan"
manyetik alan,Bir mıknatısın N ucundan dışarı çıkıp dağıldıktan sonra yine toplanıp S ucundan içine giren kuvvet çizgilerinin yayılmış bulunduğu alan
manyetit,Mıknatıs özelliği olan doğal demir oksidi (Fe2O4)
manyetize olmak,manyetizma ile etkilenmek
manyetize etmek,manyetizma ile etkilemek
manyetize,Manyetizma ile etki altına alınmış
manyetizma,Mıknatıs özelliklerinin bütünü
manyetizmacı,Manyetizma yapan kimse
manyetizmacılık,Manyetizmacının yaptığı iş
manyeto,İçinde mıknatıslı demir bulunan elektrik üreteci
manyetolu,Manyetosu olan
manyetometre,"Manyetik momentleri ve manyetik alanların momentlerini ölçmeye, karşılaştırmaya yarayan alet"
manyezi,"Müshil olarak kullanılan, beyaz renkli, suda az eriyen, hiçbir tadı olmayan, magnezyum oksidinin bir adı"
manyezit,"Doğal magnezyum silikat, lüle taşı, Eskişehir taşı"
manyok,"Sütleğengillerden, sıcak ülkelerde yetişen, yaprakları almaşık, üçü veya yedisi bir arada yelpaze durumunda olan, büyük bir ağaç (Manihot utilissima)"
manzara,"Bakışı, dikkati çeken her şey"
manzara koymak,televizyon yayını sırasında beklenmeyen kesinti aralarını doldurmak için ekrana değişik manzara resimlerini getirip göstermek
manzaralı,Manzarası olan
manzarasız,Manzarası olmayan
manzum,Şiir biçiminde yazılmış
manzume,Şiir
mapa,Ucu halkalı cıvata
mapus,Mahpus
mapusa düşmek,hapse girmek
mapushane,Cezaevi
mapushaneye düşmek,hapse girmek
maraba,Ortakçı
marabut,"Kuzey Afrika'da dervişlere verilen ad, murabıt"
maral,Dişi geyik
marangoz,Ağaç işleriyle uğraşan ve ağaçtan çeşitli eşya yapan usta
marangoz balığı,Testere balığı
marangozhane,Marangozun çalıştığı iş yeri
marangozluk,Marangozun işi
marangoz mengenesi,Tutkallanmış veya işlenecek olan tahtaların tutturulduğu kıskaç
maranta,"Bir çenekliler sınıfından, Antillerde ve bütün tropikal bölgelerde yetiştirilen, kökündeki yumrulardan ararot çıkarılan bir tür kamış, ararot kamışı (Maranta arundinaca)"
Maraş dondurması,Maraş yöresine özgü sert ve kıvamlı dondurma
Maraş işi,"Karton üzerine gerilmiş kumaşa sim, sırma vb. sarılarak yapılan bir nakış türü"
maraton,"42,195 metrelik en uzun yol koşusu"
maratoncu,Maratonda yarışan sporcu
maraz,Hastalık
maraza,Hastalık
maraza aramak,"çekişmek, olay çıkarmak için bahane aramak"
maraza çıkarmak,"kavgaya yol açmak, kavga çıkarmak, anlaşmazlığa yol açacak işler yapmak"
marazi,"Hastalıkla ilgili, hastalıklı"
marazlanma,Marazlanmak işi
marazlanmak,"Hastalanmak, hasta olmak"
marazlı,"Hastalıklı, hasta"
marazlık etmek,"güç, sıkıntı veren, huzursuzluk doğuran bir durum yaratmak"
marazlık,"Güç, sıkıntılı, huzursuz durum"
marda,Iskarta mal
mareşal,En yüksek askerî rütbe
mareşallik,"Mareşal olma durumu, müşirlik"
mareşallik asası,Mareşallerin tören sırasında ellerinde tuttukları kısa ve üzeri süslü sopa
margarik asit,Margarin yapımında kullanılan yapay yağ asidi
margarin,"İçyağlarında bulunan, margarik asidin gliserinle birleştirilmesiyle de yapay olarak elde edilen, 47 °C'de eriyen ve besin değeri olan bitki yağı"
marifet iltifata tabidir,"`başarılı bir kimse, desteklenir, takdir edilir, övülürse daha iyi işler yapar` anlamında kullanılan bir söz"
marifet (veya marifetini) göstermek,ustalığını ortaya koyabilmek
marifet,"Ustalık, hüner, uzmanlık"
marifetli,"Usta, hünerli"
marifetsiz,"Ustalığı olmayan, hüner gerektirmeyen"
marihuana,Hindistan'da yetişen kenevirin çiçeklerinden ve yapraklarından elde edilen uyuşturucu madde (Cannabis sativa)
marina,Yat limanı
marinacılık,Marina işletmeciliği
mariz,"Hastalıklı, hasta olan"
marizleme,Marizlemek işi
marizlemek,"Dövmek, dayak atmak"
marj,Yazılmış veya basılı bir kâğıdın kenarında bırakılmış boşluk
marjlı,Marjı olan
mark,Alman para birimi
marka,Resim veya harfle yapılan işaret
marka olmak,markalaşmak
marka giymek,"kullanmak için seçkin, kaliteli olan malı tercih etmek"
markacı,Marka satan kimse
markaj,Tutma
markaj yapmak,"takım oyunlarında karşı takımdaki bir oyuncuyu yakından izlemek, tutmak, gölgelemek"
markaja almak,"tutmak, perdelemek"
markalama,Markalamak işi
markalamak,Bir nesneyi tanıtmak veya benzerlerinden ayırmak için işaret koymak
markalanma,Markalanmak işi
markalanmak,Markalama işi yapılmak
markalı,Markası olan
markasız,Markası olmayan
marke,"`Takım oyunlarında karşı takımdaki bir oyuncuyu yakından izlemek, tutmak, gölgelemek, markaja almak` anlamındaki marke etmek birleşik fiilinde geçen bir söz"
market,"Özellikle her türlü yiyecek maddesinin, ev, büro, mağaza vb. yerlere ait gereçlerin satıldığı dükkân"
marketçi,Market işleten kimse
marketçilik,Market işletme işi
marketing,343 pazarlama
marki,Bazı Batı devletlerinde kont ile dük arasındaki bir soyluluk unvanı
markiz,Markinin karısı
markizet,"Bir tür ince ve çoğu kez çiçekli, pamuklu kumaş"
markka,"Finlandiya para birimi, mark"
markör,Önemli ibareleri veya dikkati çekmek istenilen yerleri işaretlemeye yarayan kalem
Marksçı,"Marksçılık yanlısı olan (görüş veya kimse), Marksist"
Marksçılık,"Alman filozof Marks'ın düşüncelerine dayanan devrimci sosyalist akım, Marksizm"
Marksist,Marksçı
Marksizm,Marksçılık
marley,Yapılarda döşeme gereci olarak kullanılan plastik madde
Marmara çırası,"`Perişan etmek, mahvetmek veya perişan olmak, mahvolmak` anlamlarındaki Marmara çırası gibi yakmak (veya yanmak) deyiminde geçen bir söz"
marmelat,Şeker karıştırılarak pişirilmiş meyve ezmesi
marn,"Çok ince taneli kil minerallerinden ve kalsitin değişik oranlardaki karışımından oluşan tortul kayaç, pekmez toprağı"
marnlama,Marnlamak işi
marnlamak,Kireci az olan toprağın içine marn katarak daha iyi duruma getirmek
maroken,Fas'ta işlenen yumuşak bir tür keçi derisi
marokenci,Maroken eşya yapan kimse
marokencilik,Maroken deriden çeşitli eşya yapma sanatı
maron,Kestane rengi
marpuç,"Nargileye takılan ve kolayca içmeyi sağlayan, hortum biçiminde uzun ve bükülgen boru"
marpuççu,Marpuç yapan veya satan kimse
Mars,"Güneş'e olan uzaklığı, yerin Güneş'e olan uzaklığından daha çok olan dış gezegenlerin ilki olan kızıl gezegen, Merih"
mars etmek,tavlada karşısındakine hiçbir pul toplamaya fırsat vermeden kendi pullarını toplayıp iki sayı kazanmak
mars olmak,tavlada pul toplayamadan kaybetmek
mars,"Tavlada oyunculardan birinin, karşı taraf pul toplamaya başlamadan kendi pullarının tamamını toplayıp iki sayı kazanması"
marsık,Yapılırken iyice yakılmadığından duman ve koku vererek yandığı için baş ağrısı yapan odun kömürü
marsık gibi,"koyu esmer, kömür gibi, simsiyah"
marsıvan,Sınırdaki koruma görevlisi
marsıvan ayısı,Marsıvan eşeği
marsıvan eşeği,"Gayet iyi cins eşek, marsıvan ayısı"
marsıvan otu,Birleşikgillerden bir cins kokulu bitki (Tanacetum balsamita)
marş,"Ritmi, yürüyen bir kimsenin veya topluluğun adımlarını hatırlatan müzik parçası"
marşandiz,Yük treni
marş marş,`Yürü` anlamında kullanılan bir seslenme sözü
"mart kapıdan baktırır, kazma kürek yaktırır",`mart ayındaki şiddetli soğuklarda insanlar ellerine geçen her şeyi yakmak zorunda kalırlar` anlamında kullanılan bir söz
"mart içeri, pire dışarı",tedirgin edici biri geldiğinde gitmeye kalkan kimseler için kullanılan bir söz
mart,Yılın üçüncü ayı
"mart dokuzunda çıra yak, bağ buda","`mart ayının dokuzunda bağların kesinlikle budanması gerekir, bu iş gündüz yetiştirilemezse gece çıra ışığında yapılmaya değecek kadar önemlidir` anlamında kullanılan bir söz"
mart çıkmadıkça dert çıkmaz,"`kış hastalıkları, mart sona ermedikçe bitmez` anlamında kullanılan bir söz"
mart ayı dert ayı,`mart ayında havalar sık sık değiştiği için insan kendisini koruyamaz ve hasta olur` anlamında kullanılan bir söz
mart havası gibi,"kararsız, huysuz (kimse)"
martaval,"Yalan, uydurma söz, palavra"
martaval atmak (veya okumak),"inanılmayacak sözler söylemek, yalan söylemek"
martavalcı,"Yalan söyleyen, palavracı"
martavalcılık,"Yalan söyleme, yalancılık"
mart dokuzu,Gregoryen takvimine göre martın üçüncü haftasında görülen bir fırtına
martı,"Martıgillerden, çoğu beyaz renkte, eti yenmez, yüzücü, perde ayaklı deniz kuşlarının ortak adı (Larus)"
martıgiller,"Omurgalı hayvanlardan kuşlar sınıfına giren, birçok türü bulunan bir familya"
martin,Tek kurşun atan bir tür tüfek
martini,"Portakal kabuğu, cin ve vermutla yapılan içki"
martolos,Türk garnizonlarında hizmet eden garson
maruf,"Herkesçe bilinen, tanınan, belli, sanlı"
marufiyet,"Bilinme, tanınma, belli olma"
